"","Not_Enrolled","Enrolled_Interested","CenterValue"
"Gwalior",3,3,0.5
"Madanapalle",2,1,0.333333333333333
"Vadalur",38,16,0.296296296296296
"Pune - Yamuna Nagar",36,15,0.294117647058824
"Ahmedabad",93,26,0.218487394957983
"Delhi - Badarpur",4,1,0.2
"Sira",563,120,0.175695461200586
"Surat",31,4,0.114285714285714
"Bidar",102,13,0.11304347826087
"Koppal",396,50,0.112107623318386
"Belagavi",136,15,0.0993377483443709
"Tumkur",93,10,0.0970873786407767
"Not known",47,5,0.0961538461538462
"Pune - Police Chowki",150,15,0.0909090909090909
"Sirsi",117,10,0.078740157480315
"Raichur",196,16,0.0754716981132075
"Attur",380,31,0.0754257907542579
"Delhi - Kirtinagar",443,35,0.0732217573221757
"Mysore",505,38,0.0699815837937385
"Chitradurga",733,53,0.0674300254452926
"Chennai - Selaiyur",63,4,0.0597014925373134
"Hasan",96,6,0.0588235294117647
"Not Known",163,9,0.0523255813953488
"Gangavathi",430,22,0.0486725663716814
"Delhi - Jehangirpuri",377,19,0.047979797979798
"Coimbatore",250,10,0.0384615384615385
"Ballary",730,23,0.0305444887118194
"Gandhigram",127,4,0.0305343511450382
"Kadiri",297,9,0.0294117647058824
"Harihar",932,27,0.0281543274244004
"Gurugram",144,4,0.027027027027027
"Kalaburagi",154,4,0.0253164556962025
"Shenoy Nagar",90,2,0.0217391304347826
"Selaiyur",302,5,0.0162866449511401
"Davanagere",778,12,0.0151898734177215
"Tenkasi",315,3,0.00943396226415094
"Chennai - Adyar",302,1,0.0033003300330033
"#Baramullah",2,0,0
"Bengaluru Main",7,0,0
"Chennai - Shenoy Nagar",6,0,0
"Coonoor",1,0,0
"Hospet",9,0,0
"Jayanagar",8,0,0
"Pavagada ",5,0,0
"#Beautician",0,0,NA
"Chennai - Vivekananda",0,0,NA
"Gadag",0,0,NA
"Muddebhial",0,0,NA
