"","Not_Enrolled","Enrolled_Interested","SourceValue"
"Word of Mouth",0,2,1
"Leaflet insertions",13,5,0.277777777777778
"#Seminar",6,2,0.25
"Student ",16,5,0.238095238095238
"Banner",18,4,0.181818181818182
"Alumni",63,12,0.16
"Asha workers",23,4,0.148148148148148
"Referral",55,8,0.126984126984127
"Trainer or Staff",457,61,0.117760617760618
"#Student",15,2,0.117647058823529
"Walkin",31,3,0.0882352941176471
"#Trainer / Staff",32,3,0.0857142857142857
"Adervtisement",36,3,0.0769230769230769
"Panchayat Leaders or Members",13,1,0.0714285714285714
"Telephonic",31,2,0.0606060606060606
"ODO",7707,491,0.0598926567455477
"Anganwadi Teachers",35,2,0.0540540540540541
"Others",235,13,0.0524193548387097
"Job fair",496,25,0.0479846449136276
"Friends",288,14,0.0463576158940397
"Not Known",21,1,0.0454545454545455
"#Panchayat Leaders / Members",3,0,0
"#Smart Caller",10,0,0
"Facebook",13,0,0
"Newspaper",9,0,0
"Seminar ",1,0,0
"SMS",2,0,0
"Television",2,0,0
"Unnati Portal",3,0,0
"Mass Emailer",0,0,NA
